Month,Day,Year,SurveyDay,Trapline,Row,TrapNum,Species,Mass,Sex,RepCon,TagNum
5,18,2017,1,7,A,1,CLEAR,.,.,.,.
5,18,2017,1,7,A,2,CLEAR,.,.,.,.
5,18,2017,1,7,A,3,CLEAR,.,.,.,.
5,18,2017,1,7,A,4,CLEAR,.,.,.,.
5,18,2017,1,7,A,5,CLEAR,.,.,.,.
5,18,2017,1,7,A,6,CLEAR,.,.,.,.
5,18,2017,1,7,B,1,CLEAR,.,.,.,.
5,18,2017,1,7,B,2,CLEAR,.,.,.,.
5,18,2017,1,7,B,3,CLEAR,.,.,.,.
5,18,2017,1,7,B,4,CLEAR,.,.,.,.
5,18,2017,1,7,B,5,CLEAR,.,.,.,.
5,18,2017,1,7,B,6,CLEAR,.,.,.,.
5,18,2017,1,7,C,1,CLEAR,.,.,.,.
5,18,2017,1,7,C,2,CLEAR,.,.,.,.
5,18,2017,1,7,C,3,PERMAN,13.1,M,JUVENILE,1
5,18,2017,1,7,C,4,CLEAR,.,.,.,.
5,18,2017,1,7,C,5,R/ST,.,.,.,.
5,18,2017,1,7,C,6,CLEAR,.,.,.,.
5,19,2017,2,7,A,1,CLEAR,.,.,.,.
5,19,2017,2,7,A,2,CLEAR,.,.,.,.
5,19,2017,2,7,A,3,CLEAR,.,.,.,.
5,19,2017,2,7,A,4,CLEAR,.,.,.,.
5,19,2017,2,7,A,5,CLEAR,.,.,.,.
5,19,2017,2,7,A,6,CLEAR,.,.,.,.
5,19,2017,2,7,B,1,CLEAR,.,.,.,.
5,19,2017,2,7,B,2,CLEAR,.,.,.,.
5,19,2017,2,7,B,3,CLEAR,.,.,.,.
5,19,2017,2,7,B,4,CLEAR,.,.,.,.
5,19,2017,2,7,B,5,CLEAR,.,.,.,.
5,19,2017,2,7,B,6,CLEAR,.,.,.,.
5,19,2017,2,7,C,1,PERMAN,18.06,M,ADULT,3
5,19,2017,2,7,C,2,CLEAR,.,.,.,.
5,19,2017,2,7,C,3,CLEAR,.,.,.,.
5,19,2017,2,7,C,4,CLEAR,.,.,.,.
5,19,2017,2,7,C,5,CLEAR,.,.,.,.
5,19,2017,2,7,C,6,R/ST,.,.,.,.
5,20,2017,3,7,A,1,CLEAR,.,.,.,.
5,20,2017,3,7,A,2,CLEAR,.,.,.,.
5,20,2017,3,7,A,3,CLEAR,.,.,.,.
5,20,2017,3,7,A,4,CLEAR,.,.,.,.
5,20,2017,3,7,A,5,CLEAR,.,.,.,.
5,20,2017,3,7,A,6,CLEAR,.,.,.,.
5,20,2017,3,7,B,1,CLEAR,.,.,.,.
5,20,2017,3,7,B,2,CLEAR,.,.,.,.
5,20,2017,3,7,B,3,CLEAR,.,.,.,.
5,20,2017,3,7,B,4,CLEAR,.,.,.,.
5,20,2017,3,7,B,5,CLEAR,.,.,.,.
5,20,2017,3,7,B,6,CLEAR,.,.,.,.
5,20,2017,3,7,C,1,CLEAR,.,.,.,.
5,20,2017,3,7,C,2,CLEAR,.,.,.,.
5,20,2017,3,7,C,3,PERMAN,RECAPTURE,.,.,1
5,20,2017,3,7,C,4,CLEAR,.,.,.,.
5,20,2017,3,7,C,5,CLEAR,.,.,.,.
5,20,2017,3,7,C,6,CLEAR,.,.,.,.
5,18,2017,1,8,A,1,CLEAR,.,.,.,.
5,18,2017,1,8,A,2,CLEAR,.,.,.,.
5,18,2017,1,8,A,3,CLEAR,.,.,.,.
5,18,2017,1,8,A,4,CLEAR,.,.,.,.
5,18,2017,1,8,A,5,CLEAR,.,.,.,.
5,18,2017,1,8,A,6,CLEAR,.,.,.,.
5,18,2017,1,8,B,1,CLEAR,.,.,.,.
5,18,2017,1,8,B,2,CLEAR,.,.,.,.
5,18,2017,1,8,B,3,CLEAR,.,.,.,.
5,18,2017,1,8,B,4,CLEAR,.,.,.,.
5,18,2017,1,8,B,5,CLEAR,.,.,.,.
5,18,2017,1,8,B,6,CLEAR,.,.,.,.
5,18,2017,1,8,C,1,CLEAR,.,.,.,.
5,18,2017,1,8,C,2,CLEAR,.,.,.,.
5,18,2017,1,8,C,3,CLEAR,.,.,.,.
5,18,2017,1,8,C,4,CLEAR,.,.,.,.
5,18,2017,1,8,C,5,CLEAR,.,.,.,.
5,18,2017,1,8,C,6,CLEAR,.,.,.,.
5,19,2017,2,8,A,1,CLEAR,.,.,.,.
5,19,2017,2,8,A,2,IN STREAM,.,.,.,.
5,19,2017,2,8,A,3,CLEAR,.,.,.,.
5,19,2017,2,8,A,4,CLEAR,.,.,.,.
5,19,2017,2,8,A,5,CLEAR,.,.,.,.
